epoch,train_loss,valid_loss,valid_perplexity
1,6.336769525269816,5.997902490198612,402.5834844761106
2,5.590762534673811,5.658654989408595,286.76268420772703
3,5.181292711206086,5.4901990959686895,242.30544409298565
4,4.8183607988925665,5.24650871434382,189.90210724189913
5,4.4476986560192735,5.1412122542304655,170.92284472294023
6,4.148237815821632,5.020442217588425,151.47827534258374
7,3.891614942346576,4.944739057549408,140.43420082537003
8,3.6645219006105405,4.864148389548063,129.56055649312887
9,3.424398458093629,4.83533263579011,125.88044858599986
10,3.2326174052620704,4.731501655919211,113.46582110352057
11,3.025905134293163,4.711773423744099,111.24927717747286
12,2.838440209472021,4.7076706902257035,110.7937860573605
13,2.651843143860821,4.7131215786295275,111.39935957842955
14,2.4781213336903765,4.695515042969158,109.45516824159999
15,2.2989376631687666,4.619966451610837,101.4906272253729
16,2.136002567891374,4.655444081340518,105.15590740795385
17,1.997738832162942,4.768423634980406,117.73350462588752
18,1.8502525448316505,4.699417322341885,109.88312735179929
19,1.7000357004657103,4.725150986973729,112.74752049589259
20,1.5887504118656823,4.686274891985314,108.44844426472187
21,1.4394799516751215,4.72717367910913,112.97580481550331
22,1.3264302256618916,4.7092603248144895,110.97004775062513
23,1.2053771556423467,4.75454518198967,116.11083185574601
24,1.0999510065539853,4.765277172837939,117.36364279395109
25,1.0183817594640168,4.731629880943468,113.48037119400684
26,0.9289558612245435,4.816057465438332,123.4773162906883
27,0.8228757294566043,4.817048567214182,123.59975554299888
28,0.7515881658289872,4.784090291176524,119.5925192133004
29,0.6723555267167408,4.821023831410067,124.0920751277057
30,0.5996052213250177,4.86072833144239,129.1182087204327
31,0.5439179713771549,4.873727496181216,130.80759409672547
32,0.5118576627787033,4.843507353748594,126.91370327850518
33,0.4528273797969449,4.927252559257405,137.9998446259151
34,0.4211018090133656,5.01587442149009,150.78793134312653
35,0.3686903291454613,5.041779072689159,154.74507301244444
